Time,RH.ACC.X,RH.ACC.Y,RH.ACC.Z,RH.GY.X,RH.GY.Y,RH.GY.Z,LH.ACC.X,LH.ACC.Y,LH.ACC.Z,LH.GY.X,LH.GY.Y,LH.GY.Z,RT.ACC.X,RT.ACC.Y,RT.ACC.Z,RT.GY.X,RT.GY.Y,RT.GY.Z,LT.ACC.X,LT.ACC.Y,LT.ACC.Z,LT.GY.X,LT.GY.Y,LT.GY.Z
0.0486,-0.07910156,-2.166504,-0.4736328,-7.926829,21.58537,-335.8537,2.08252,-2.566895,-0.9892578,406.7683,-269.8171,684.3293,0.1245117,-0.4467773,1.898926,-534.1464,-9.146341,89.32927,1.001953,1.071777,4.85791,-132.1342,-69.81708,190.3049
0.0513,0.2490234,-2.325684,-0.5009766,-7.743903,39.63415,-357.5,1.775879,-1.356934,-0.3686523,502.3781,-264.3293,667.0732,0.09423828,-0.9086914,1.006836,-532.6219,99.69512,60.12195,1.697266,-1.26709,1.947754,-38.41463,-14.5122,167.7439
0.054,0.5927734,-2.52002,-0.7973633,-2.621951,41.82927,-360.1829,-0.1376953,-0.7871094,0.6552734,571.0366,-243.4146,588.2318,-0.09472656,-1.019043,0.3808594,-545.3049,140.1829,44.08537,1.064453,-3.557617,-2.231934,-19.08537,58.29268,138.7805
0.0567,0.5493164,-2.522461,-1.041016,1.219512,44.32927,-348.1707,-1.808105,-0.7900391,1.165527,761.3415,-281.4634,390.2439,-0.612793,-0.9897461,-0.2763672,-592.5,137.3171,20.30488,-0.4824219,-4.87793,-3.758789,-93.59756,247.2561,99.57317
0.0594,0.1245117,-2.325684,-1.593262,-1.890244,49.02439,-338.2317,-8.943848,-0.08984375,2.841309,861.1586,-251.2805,342.3171,-0.8583984,-0.8276367,-0.3129883,-616.9512,91.34147,14.20732,-4.991699,-6.937988,-4.037109,-163.0488,290.6098,131.5244
0.0621,-0.2133789,-2.120117,-2.060059,-17.86585,79.08537,-329.1464,-10.58936,1.237305,3.884766,652.6219,19.69512,471.5244,-1.209961,-0.2558594,0.1582031,-659.1464,-60.4878,17.7439,-6.365234,-7.49707,-2.750488,-262.7439,202.9268,277.8659
0.0648,-0.3774414,-2.125,-2.105957,-22.56098,106.7683,-334.1464,-6.578125,2.928711,2.054199,248.6585,71.03659,375.9756,-1.207031,0.004394531,0.6557617,-675.7927,-144.939,28.53659,-5.273926,-6.871582,0.5537109,-271.2805,129.0244,325.1219
0.0675,-0.5981445,-2.389648,-1.749512,-3.109756,176.4634,-354.7561,-4.172363,2.508301,1.446777,133.5366,-7.865854,274.6342,-0.5688477,0.3334961,1.452148,-687.2561,-211.2195,62.86586,-3.499512,-5.945801,1.875488,-257.2561,-2.073171,262.3781
0.0702,-0.6801758,-2.616211,-1.400391,19.26829,204.6951,-369.2073,-0.1821289,0.6621094,0.7036133,60.4878,23.35366,160.1219,-0.112793,0.465332,1.37207,-688.7195,-160.8537,73.90244,-0.2060547,-4.180664,3.586426,-215.1829,-48.04878,128.1707
0.0729,-0.3720703,-2.993164,-0.5810547,76.40244,228.4146,-398.2317,0.9575195,-0.03320313,0.2954102,44.02439,99.14635,117.6829,0.4130859,0.4326172,0.5512695,-730.9756,17.5,60.85366,1.02002,-3.500977,3.879395,-176.1585,-36.21951,75.30488
0.0756,-0.07080078,-3.055664,-0.3364258,107.0122,230.7317,-418.2317,2.133301,-0.7734375,-0.409668,-1.219512,237.0732,34.39024,0.4570313,0.137207,0.2241211,-766.6464,96.34147,42.13415,3.286133,-2.581055,3.750488,-105.6098,-3.04878,30.97561
0.0783,0.04931641,-2.848145,-0.5415039,152.6219,243.4146,-457.9268,2.292969,-1.028809,-0.7416992,-46.95122,258.0488,-21.46342,0.2905273,-0.7412109,0.07666016,-828.7195,186.0366,-1.890244,4.425781,-2.02002,3.354004,-73.84147,-5.670732,48.65854
0.081,-0.1137695,-2.630859,-0.956543,156.1585,244.5122,-464.6951,2.150391,-1.400879,-1.281738,-199.4512,149.4512,-113.2927,-0.2045898,-1.42041,0.5131836,-848.5976,198.8415,-24.7561,5.876953,-0.6191406,1.603516,-33.17073,-14.32927,70.42683
0.0837,-0.65625,-2.299805,-1.642578,122.3781,237.2561,-455.6098,1.822266,-1.727051,-1.224121,-290.4878,51.7683,-145.3659,-0.5888672,-1.632813,0.8369141,-863.2927,178.8415,-64.08537,5.544434,-0.140625,0.8398438,-36.7683,-0.7926829,57.31707
0.0864,-0.8867188,-2.260254,-1.741699,94.08537,232.8049,-432.0732,1.605957,-1.997559,-0.9946289,-409.7561,-51.34146,-110.7317,-0.9614258,-1.655273,1.197266,-858.1098,154.2683,-79.14635,4.156738,0.4082031,0.3759766,-57.62195,106.6463,56.70732
0.0891,-1.354492,-2.438477,-1.373535,100.6707,237.1951,-423.6585,0.9272461,-2.677734,-0.7421875,-378.6585,42.13415,7.865854,-0.9038086,-1.657715,1.21582,-839.7561,98.17073,-101.9512,3.430664,0.4736328,0.2788086,-66.95122,179.4512,68.23171
0.0918,-1.683594,-2.615234,-1.029785,154.0854,238.4756,-413.9024,0.4326172,-2.658203,-0.5219727,-220.9146,78.90244,185.2439,-0.3896484,-1.876953,1.170898,-829.6342,75.36585,-97.0122,1.90625,-0.04931641,-0.03710938,-92.19512,253.3537,69.87805
0.09450001,-2.154297,-3.008789,-0.1333008,197.5,228.4146,-416.0366,-0.1899414,-2.384766,0.612793,-105.4878,3.963415,205,-0.1787109,-1.919922,0.8662109,-823.2927,82.19512,-81.03659,0.1943359,-1.104004,0.3637695,-105.7317,252.5,61.34146
0.0972,-2.140625,-3.101074,0.3515625,297.2561,203.7805,-435.3049,-0.2861328,-2.176758,0.9023438,176.3415,-105.1829,152.3781,-0.3457031,-1.655762,0.04101563,-829.0854,55.06098,-63.10976,-0.5356445,-1.539551,0.7827148,-113.2317,229.7561,56.40244
0.0999,-1.952148,-3.038086,0.4951172,341.9512,201.6463,-450.6098,-0.5097656,-1.696777,0.7260742,357.3171,-51.7683,65.97561,-0.503418,-1.762695,0.04296875,-847.561,40.73171,-57.2561,-1.247559,-1.829102,1.430664,-103.7195,220.9756,58.10976
0.1026,-1.492188,-2.758789,0.4130859,413.1707,205.8537,-483.4756,-0.6240234,-1.461914,0.4990234,390.5488,25.18293,35.18293,-0.5976563,-2.125977,0.07763672,-878.9634,85.18293,-34.14634,-1.303223,-1.688477,1.580566,-73.23171,202.5,39.20732
0.1053,-1.28125,-2.569824,0.2543945,429.6951,202.1342,-495.183,-0.7392578,-0.9545898,0.04492188,378.7805,189.5732,-1.463415,-0.7519531,-2.29248,0.09228516,-882.1342,94.87805,-40.12195,-1.300781,-1.09375,1.592773,-39.7561,172.439,8.109756
0.108,-0.8803711,-2.229492,-0.01757813,428.9024,182.1342,-496.5854,-0.7626953,-0.6992188,-0.08642578,349.7561,237.6829,-14.5122,-1.294434,-3.085449,0.8022461,-866.9512,79.02439,-58.59756,-1.26709,-0.7553711,1.429199,-25.60976,153.0488,2.987805
0.1107,-0.6635742,-2.100586,-0.1171875,422.6829,165.3049,-488.2317,-0.8510742,-0.2817383,-0.09667969,283.6585,240,-34.81707,-1.57959,-3.556641,1.321289,-842.9268,74.57317,-56.82927,-0.9829102,-0.2958984,0.9550781,-11.40244,119.5732,10.97561
0.1134,-0.2954102,-1.766602,-0.3061523,410.9146,130.6707,-456.4634,-0.7583008,-0.1225586,0.03515625,255.122,208.4756,-42.5,-2.075684,-4.273926,1.953613,-754.2073,80.30488,-39.2683,-0.7802734,-0.2646484,0.7924805,-11.70732,105.9146,14.87805
0.1161,-0.1118164,-1.618652,-0.4414063,378.7195,85.06097,-401.3415,-0.4765625,0.08398438,0.3476563,213.4756,140.7927,-55.60976,-2.063965,-4.406738,1.99707,-707.2561,75.18293,-36.03659,-0.3017578,-0.480957,0.7055664,-14.5122,85.79269,10.42683
0.1188,0.3139648,-1.361816,-0.5844727,363.4146,67.98781,-374.6342,-0.1728516,0.1499023,0.4199219,198.5366,108.9634,-59.45122,-1.745605,-4.428711,1.897461,-639.5732,41.09756,-56.09756,-0.05322266,-0.5942383,0.746582,-14.20732,80.42683,2.621951
0.1215,0.4853516,-1.252441,-0.5620117,332.6219,44.02439,-332.561,-0.02001953,0.1259766,0.2758789,159.939,47.62195,-59.5122,-1.541992,-4.385742,1.959473,-611.6464,20.73171,-70.48781,0.4873047,-0.6772461,0.8388672,-9.817074,74.81708,-14.63415
0.1242,0.8144531,-1.17041,-0.402832,319.3293,33.71951,-315.9756,0.2441406,-0.02099609,-0.2666016,127.622,17.07317,-55.54878,-1.025391,-4.265137,2.336914,-549.2683,-7.560976,-87.80488,0.7666016,-0.6430664,0.8632813,-7.317073,72.80488,-19.5122
0.1269,1.067871,-1.163086,-0.1738281,301.5854,14.45122,-287.2561,0.3398438,-0.1411133,-0.5366211,25.36585,-35.79268,-40.30488,-0.3842773,-4.056152,2.63916,-509.2683,-6.280488,-93.35366,1.116699,-0.5576172,0.7919922,-4.329268,65.91463,-18.17073
0.1296,1.144531,-1.148926,-0.0703125,297.0732,11.70732,-275.4878,0.390625,-0.4467773,-0.8305664,-107.5,-51.58537,-10.85366,-0.1313477,-3.910645,2.690918,-425.8537,21.76829,-106.4634,1.055176,-0.4926758,0.5463867,-3.47561,62.62195,-11.76829
0.1323,1.131836,-1.055664,0.04541016,289.4512,12.86585,-255,0.347168,-0.6118164,-0.8051758,-170.7927,-40.85366,10.73171,0.1572266,-3.64209,2.497559,-351.7683,46.89024,-117.561,0.9501953,-0.4912109,0.4858398,-8.658537,64.32927,3.04878
0.135,1.080078,-0.9746094,0.05175781,285.6707,16.09756,-243.4756,0.2001953,-0.9516602,-0.5317383,-260.9146,6.097561,63.84146,0.1367188,-3.599121,2.36377,-319.6951,53.71951,-118.0488,0.6352539,-0.5483398,0.6591797,-14.57317,72.0122,8.414635
0.1377,0.953125,-0.7363281,-0.07861328,276.0366,28.71951,-217.439,0.1088867,-1.082031,-0.3857422,-283.6585,23.47561,83.59756,-0.2670898,-3.892578,3.796875,-228.7195,43.59756,-106.0976,0.4418945,-0.597168,0.8466797,-21.58537,95.79269,14.87805
0.1404,0.8730469,-0.5878906,-0.222168,265.4268,34.39024,-203.7195,-0.1240234,-1.309082,-0.09228516,-282.5,23.17073,98.35366,-0.2529297,-3.615234,4.237793,-176.0366,64.63415,-77.92683,-0.01025391,-0.730957,1.129883,-18.90244,103.5366,16.03658
0.1431,0.6352539,-0.2509766,-0.7114258,229.5732,35.42683,-171.2195,-0.1938477,-1.416992,0.02246094,-257.7439,13.29268,97.43903,0.3354492,-3.177734,3.718262,-96.28049,122.8049,-38.10976,-0.2158203,-0.7915039,1.138672,-4.573171,96.58537,19.69512
0.1458,0.5664063,-0.1079102,-0.9521484,202.8659,31.76829,-152.561,-0.2558594,-1.667969,0.1918945,-170.4878,-9.695122,80.67073,0.5092773,-2.999512,3.317871,-63.23171,130.4878,-37.80488,-0.4072266,-0.8588867,1,7.5,68.96342,22.37805
0.1485,0.4462891,-0.01123047,-1.212891,129.3293,18.84146,-118.5976,-0.2548828,-1.86377,0.3061523,-116.3415,-15.85366,66.46342,0.7583008,-2.630859,3.47998,-2.012195,121.2805,-51.21951,-0.4042969,-0.8657227,0.9228516,11.15854,55.73171,21.52439
0.1512,0.3383789,-0.09326172,-1.242188,45.30488,4.085366,-81.09756,-0.2416992,-1.909668,0.3300781,-9.207317,-12.37805,35.54878,0.9272461,-2.476074,3.741211,30.79268,140.061,-60.97561,-0.1953125,-0.828125,0.8999023,12.7439,40.85366,12.56098
0.1539,0.2241211,-0.3183594,-1.046387,12.07317,-2.439024,-64.87805,-0.1308594,-1.844727,0.2744141,35.4878,-2.865854,20.67073,0.9604492,-2.140625,3.67334,97.62196,250.122,-83.78049,-0.02636719,-0.8051758,0.9516602,12.56098,36.52439,6.158537
0.1566,0.1108398,-0.4697266,-0.9873047,-37.92683,-3.658537,-41.40244,-0.04394531,-1.730957,0.1943359,96.40244,23.17073,-4.390244,0.7924805,-1.910156,3.299316,124.6341,318.1707,-87.19512,0.2299805,-0.7026367,1.022949,14.93902,30.48781,-2.804878
0.1593,-0.2114258,-0.7333984,-0.9863281,-58.96342,0,-30.67073,0.1601563,-1.42627,-0.01757813,120.1829,46.82927,-24.7561,0.3564453,-1.522949,2.463867,155.3659,402.561,-85.91463,0.3212891,-0.6162109,1.041992,15.2439,26.03659,-5.121951
0.162,-0.4482422,-0.8862305,-1.086426,-99.20732,10.36585,-8.353659,0.2333984,-1.27832,-0.1201172,119.939,53.84146,-31.46342,0.1035156,-1.38916,2.128418,163.5976,411.9512,-88.23171,0.4116211,-0.4165039,0.9980469,15.60976,20.4878,-5.54878
0.1647,-0.5288086,-0.9326172,-1.133301,-117.5,16.46342,0.3048781,0.3061523,-1.051758,-0.2172852,105.5488,54.2683,-35.12195,-0.4472656,-1.239746,1.775879,175.3659,393.5366,-102.0122,0.3276367,-0.355957,0.8876953,15.54878,19.81707,-2.926829
0.1674,-0.6030273,-0.9521484,-1.129395,-147.439,27.0122,19.5122,0.3120117,-0.9716797,-0.1923828,95.30488,48.78049,-31.95122,-1.050293,-1.163086,1.664551,182.7439,374.8781,-111.9512,0.284668,-0.4033203,0.8881836,13.65854,22.62195,5.54878
0.1701,-0.5966797,-0.9404297,-1.103027,-156.7683,32.07317,28.84146,0.2431641,-0.8588867,-0.06445313,77.37805,31.40244,-20.42683,-1.340332,-1.140625,1.645508,198.4756,325.9756,-128.4146,-0.04638672,-0.3955078,0.7138672,14.45122,22.0122,7.804878
0.1728,-0.5805664,-0.9272461,-1.027344,-158.9634,42.43903,46.03659,0.2016602,-0.8261719,0.02636719,71.40244,21.95122,-13.78049,-1.74707,-1.126465,1.638672,214.3293,264.6342,-132.1342,-0.07080078,-0.4350586,0.6669922,8.47561,21.58537,12.0122
0.1755,-0.5776367,-0.9023438,-0.9921875,-155.061,46.09756,54.81707,0.1689453,-0.78125,0.2001953,63.53659,11.15854,-4.085366,-1.825195,-1.135254,1.625488,223.5366,232.2561,-128.9024,-0.04931641,-0.5454102,0.7104492,3.109756,17.9878,8.902439
0.1782,-0.5703125,-0.8452148,-0.8984375,-144.939,49.08537,74.08537,0.1064453,-0.7192383,0.2709961,61.03659,12.31707,-3.04878,-1.773926,-1.131348,1.535645,247.561,172.3781,-118.2317,-0.04541016,-0.5644531,0.734375,-0.1829268,4.695122,-0.2439024
0.1809,-0.5683594,-0.8178711,-0.8486328,-134.5122,51.7683,95.2439,0.03515625,-0.7016602,0.2568359,53.17073,14.7561,-2.378049,-1.679688,-1.100098,1.45459,260.8537,144.2073,-111.5244,-0.04199219,-0.4951172,0.6787109,1.95122,-2.743902,-6.036585
0.1836,-0.5825195,-0.8041992,-0.7016602,-129.6342,54.14634,106.8902,-0.08154297,-0.6689453,0.2124023,46.15854,12.56098,0.4268293,-1.407227,-0.9609375,1.249512,285.7927,88.35366,-99.2683,-0.02880859,-0.4584961,0.6152344,2.073171,-2.5,-6.707317
0.1863,-0.6005859,-0.7958984,-0.6259766,-121.4634,58.10976,130.7317,-0.1118164,-0.6601563,0.1904297,26.52439,4.02439,7.987805,-1.246094,-0.8754883,1.150391,295.061,63.84146,-94.20732,0.06005859,-0.4550781,0.5825195,-2.073171,-1.95122,-7.5
0.189,-0.6293945,-0.7895508,-0.5102539,-120.3049,58.90244,141.5244,-0.06933594,-0.6606445,0.1376953,2.804878,-3.109756,11.95122,-0.9018555,-0.6845703,0.9873047,305,29.81707,-86.15854,0.1381836,-0.4858398,0.6289063,-4.268293,-1.890244,-8.47561
0.1917,-0.6669922,-0.7895508,-0.3896484,-121.8902,60.30488,158.2927,-0.01611328,-0.6733398,0.08251953,-10.60976,-3.719512,11.34146,-0.7373047,-0.5961914,0.9204102,306.5854,21.09756,-83.96342,0.2373047,-0.5292969,0.7460938,-5.54878,-1.158537,-11.40244
0.1944,-0.6904297,-0.7890625,-0.3339844,-122.561,60.60976,163.1098,0.09326172,-0.7270508,-0.01611328,-41.03659,0.9756098,8.902439,-0.4448242,-0.4492188,0.8129883,308.2927,17.7439,-81.34147,0.2387695,-0.5161133,0.7734375,-4.390244,-0.7926829,-11.95122
0.1971,-0.7299805,-0.8017578,-0.2270508,-122.9878,61.64634,167.6219,0.1381836,-0.7573242,-0.05126953,-55.85366,4.085366,8.292683,-0.3330078,-0.3930664,0.7670898,308.2317,20.67073,-80.42683,0.2373047,-0.4482422,0.7998047,-1.829268,-1.036585,-12.07317
0.1998,-0.7431641,-0.8037109,-0.1865234,-121.5854,62.07317,166.7073,0.2001953,-0.8632813,-0.1030273,-80.18293,8.597561,10.12195,-0.1767578,-0.3100586,0.684082,308.0488,30.42683,-77.37805,0.2275391,-0.4213867,0.8027344,-1.036585,-0.7926829,-12.0122
0.2025,-0.7509766,-0.7617188,-0.140625,-116.6463,64.02439,161.0976,0.1977539,-0.9301758,-0.109375,-88.29269,8.414635,13.59756,-0.1240234,-0.2866211,0.6435547,307.561,36.64634,-74.39024,0.1806641,-0.4121094,0.7226563,-1.219512,2.621951,-7.804878
0.2052,-0.737793,-0.7241211,-0.1401367,-113.1098,65.60976,157.5,0.1347656,-1.086914,-0.05566406,-94.20732,1.402439,26.21951,-0.05029297,-0.2597656,0.5727539,306.3415,50,-65.36585,0.1665039,-0.5024414,0.6269531,-1.463415,2.682927,-5.54878
0.2079,-0.6933594,-0.6289063,-0.1323242,-106.7683,67.92683,149.6951,0.05664063,-1.219238,0.08740234,-90.48781,-2.743902,33.41463,-0.004882813,-0.2397461,0.5043945,305,57.9878,-59.81707,0.1704102,-0.5820313,0.605957,-4.146341,0.9756098,-3.04878
0.2106,-0.6601563,-0.5791016,-0.1367188,-102.7439,69.7561,147.1951,0.02636719,-1.258301,0.159668,-69.63415,-6.463415,42.86586,0.005859375,-0.2299805,0.4667969,300.7317,76.40244,-48.04878,0.2329102,-0.7314453,0.7348633,-6.280488,1.768293,-2.317073
0.2133,-0.5981445,-0.480957,-0.1601563,-98.29269,69.57317,144.2073,0.07470703,-1.259277,0.1665039,-53.96342,-4.207317,43.23171,-0.01611328,-0.2148438,0.4145508,297.3781,86.52439,-42.68293,0.2998047,-0.7661133,0.8808594,-6.95122,6.158537,-6.585366
0.216,-0.5761719,-0.4213867,-0.1645508,-97.2561,67.07317,146.0366,0.159668,-1.219727,0.078125,-26.03659,10.79268,30.79268,-0.04101563,-0.2133789,0.4008789,288.2927,105.061,-32.56098,0.3935547,-0.6586914,1.083496,0.2439024,5.243903,-14.02439
0.2187,-0.519043,-0.3139648,-0.1787109,-97.07317,67.0122,148.4146,0.3071289,-1.14502,-0.1811523,-15.67073,29.93903,8.109756,-0.1181641,-0.2294922,0.434082,279.8781,119.5732,-23.78049,0.390625,-0.4936523,1.097656,5.792683,2.256098,-15.97561
0.2214,-0.4931641,-0.2783203,-0.1884766,-101.4634,63.53659,152.8049,0.3364258,-1.129883,-0.2949219,-17.9878,35.79268,0.7317073,-0.168457,-0.2431641,0.465332,276.5854,124.3902,-19.63415,0.3081055,-0.140625,0.9472656,12.86585,-0.6707317,-12.07317
